gene_id	symbol	logFC	logCPM	F	PValue	FDR	dataset	group_name	comparison
ENSG00000000003	TSPAN6	0.0162175484447917	6.94107142838766	0.00531181236773716	0.943941146549802	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000000419	DPM1	0.0696517610236549	4.78214501284199	0.607213505834489	0.461396501492891	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000000457	SCYL3	-0.0157880125759667	4.99661202130632	0.0204516995265663	0.890317137488561	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000000460	C1orf112	0.0147461313014262	2.76533023454593	0.0173980248829101	0.898777849264964	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000000938	FGR	-0.181812148241348	2.14246658499439	0.315716359156407	0.591742428844345	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000000971	CFH	-0.0515675919925407	8.06239348704464	0.318632501497492	0.590072869581201	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001036	FUCA2	0.233128795999064	5.25761656824368	4.44225280663708	0.0730886927306805	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001084	GCLC	0.00425827715316097	7.70922038384436	0.000362450302956534	0.985342621817517	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001167	NFYA	0.0368384724965514	4.27349950088974	0.0819112488992264	0.783018708546697	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001460	STPG1	0.163147760394219	4.39530421163942	0.17782256202711	0.685914416847857	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001461	NIPAL3	0.0148981788294513	6.56683253894491	0.0124460257405068	0.914306242019451	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001497	LAS1L	0.154381356777181	5.08988281215222	2.2346090925767	0.178652779365618	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001561	ENPP4	0.0819099148757528	6.22825856159201	0.518132962575677	0.494992647933789	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001617	SEMA3F	-0.0112367448271282	7.01062359981354	0.00306319341306447	0.957411150001529	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
ENSG00000001626	CFTR	0.118325604675533	4.64122482752619	0.586939076374264	0.468677346193974	0.999797967610705	Adult1	Study1_NEG_F	D2vsBaseline
